"teamMemberCount","femaleTeamMembersPercent","teamLeadGender","teamDistribution","teamMemberResponseCount","meetingHoursTotal","meetingHoursAverage","meetingHoursStandardDeviation","inPersonMeetingHoursTotal","inPersonMeetingHoursAverage","inPersonMeetingHoursStandardDeviation","nonCodingDeliverablesHoursTotal","nonCodingDeliverablesHoursAverage","nonCodingDeliverablesHoursStandardDeviation","codingDeliverablesHoursTotal","codingDeliverablesHoursAverage","codingDeliverablesHoursStandardDeviation","helpHoursTotal","helpHoursAverage","helpHoursStandardDeviation","averageResponsesByWeek","standardDeviationResponsesByWeek","averageMeetingHoursTotalByWeek","standardDeviationMeetingHoursTotalByWeek","averageMeetingHoursAverageByWeek","standardDeviationMeetingHoursAverageByWeek","averageInPersonMeetingHoursTotalByWeek","standardDeviationInPersonMeetingHoursTotalByWeek","averageInPersonMeetingHoursAverageByWeek","standardDeviationInPersonMeetingHoursAverageByWeek","averageNonCodingDeliverablesHoursTotalByWeek","standardDeviationNonCodingDeliverablesHoursTotalByWeek","averageNonCodingDeliverablesHoursAverageByWeek","standardDeviationNonCodingDeliverablesHoursAverageByWeek","averageCodingDeliverablesHoursTotalByWeek","standardDeviationCodingDeliverablesHoursTotalByWeek","averageCodingDeliverablesHoursAverageByWeek","standardDeviationCodingDeliverablesHoursAverageByWeek","averageHelpHoursTotalByWeek","standardDeviationHelpHoursTotalByWeek","averageHelpHoursAverageByWeek","standardDeviationHelpHoursAverageByWeek","averageResponsesByStudent","standardDeviationResponsesByStudent","averageMeetingHoursTotalByStudent","standardDeviationMeetingHoursTotalByStudent","averageMeetingHoursAverageByStudent","standardDeviationMeetingHoursAverageByStudent","averageInPersonMeetingHoursTotalByStudent","standardDeviationInPersonMeetingHoursTotalByStudent","averageInPersonMeetingHoursAverageByStudent","standardDeviationInPersonMeetingHoursAverageByStudent","averageNonCodingDeliverablesHoursTotalByStudent","standardDeviationNonCodingDeliverablesHoursTotalByStudent","averageNonCodingDeliverablesHoursAverageByStudent","standardDeviationNonCodingDeliverablesHoursAverageByStudent","averageCodingDeliverablesHoursTotalByStudent","standardDeviationCodingDeliverablesHoursTotalByStudent","averageCodingDeliverablesHoursAverageByStudent","standardDeviationCodingDeliverablesHoursAverageByStudent","averageHelpHoursTotalByStudent","standardDeviationHelpHoursTotalByStudent","averageHelpHoursAverageByStudent","standardDeviationHelpHoursAverageByStudent","commitCount","uniqueCommitMessageCount","uniqueCommitMessagePercent","commitMessageLengthTotal","commitMessageLengthAverage","commitMessageLengthStandardDeviation","averageCommitCountByWeek","standardDeviationCommitCountByWeek","averageUniqueCommitMessageCountByWeek","standardDeviationUniqueCommitMessageCountByWeek","averageUniqueCommitMessagePercentByWeek","standardDeviationUniqueCommitMessagePercentByWeek","averageCommitMessageLengthTotalByWeek","standardDeviationCommitMessageLengthTotalByWeek","averageCommitCountByStudent","standardDeviationCommitCountByStudent","averageUniqueCommitMessageCountByStudent","issueCount","onTimeIssueCount","lateIssueCount","SE Process class"
"7","0.1429","0","0","44","145.571429","3.308442","2.23098","130.857143","2.974026","2.331512","59.428572","1.350649","1.535521","204.857143","4.655844","5.351054","31.5","0.715909","0.726562","5.5","1.322876","18.196429","13.502822","2.944048","1.84214","16.357143","12.636802","2.647619","1.68162","7.428571","4.612538","1.297619","0.784049","25.607143","17.581697","4.171429","2.343946","3.9375","2.25239","0.675595","0.320346","6.2857","1.160577","20.795918","1.767634","3.432289","0.743958","18.693878","3.536918","3.062901","0.729853","8.489796","2.900545","1.452187","0.676711","29.265306","17.466574","4.987099","3.420432","4.5","2.37731","0.741254","0.382656","309","190","0.6149","18317","59.2783","54.517123","51.5","46.093203","32.5","20.998016","0.7511","0.215674","3052.8333","2240.122944","44.1429","19.36439","27.5714","1","0","1","A"
"6","0.1667","0","0","40","219.000001","5.475","5.114685","186.714286","4.667857","2.970585","78.857143","1.971429","2.055328","221.285715","5.532143","4.660405","110.714286","2.767857","4.487761","5","2","27.375","16.400743","5.562996","3.470015","23.339286","12.076486","4.708333","2.314451","9.857143","5.182388","1.956349","0.752173","27.660714","12.328194","5.78373","2.732122","13.839286","11.79814","2.85119","2.888003","6.6667","0.745356","36.5","16.42852","5.474915","2.312226","31.119048","9.506681","4.666525","1.305511","13.142857","8.212319","2.021259","1.246496","36.880953","14.545593","5.530187","2.023985","18.452381","15.42271","2.796485","2.322877","196","166","0.8469","7929","40.4541","32.67282","32.6667","21.320309","28.5","19.568257","0.84946667","0.108685","1321.5","776.196872","39.2","16.916264","33.2","1","0","1","A"
"6","0.1667","0","0","35","56.321429","1.609184","0.859699","48.428572","1.383673","2.033194","35.071429","1.002041","0.879471","176","5.028571","3.675179","44.785714","1.279592","1.71369","4.375","1.57619","7.040179","3.319001","1.542262","0.589805","6.053571","5.674386","1.271131","1.140471","4.383929","3.098497","0.899107","0.462986","22","14.962538","4.486905","2.698986","5.598214","4.593409","1.196577","0.83194","5.8333","1.067187","9.386905","4.398729","1.569104","0.602945","8.071429","6.136625","1.279819","0.973536","5.845238","2.668287","0.957681","0.413311","29.333333","14.741691","4.878175","1.90442","7.464286","5.492071","1.250113","0.937436","5","4","0.8","104","20.8","6.493073","1.6667","0.471405","1.3333","0.471405","0.83333333","0.235702","34.6667","5.249339","5","0","4","2","1","1","A"
"3","0.3333","1","1","17","52.857143","3.109244","1.515776","47.714286","2.806723","1.277974","32.142857","1.890756","0.998268","109.714286","6.453782","6.278981","33.142857","1.94958","1.028992","2.4286","0.728431","7.55102","2.53653","3.146259","0.713654","6.816327","2.55518","2.721088","0.570111","4.591837","2.41162","1.829932","0.693394","15.673469","9.646134","6.12585","3.240513","4.734694","2.21633","1.901361","0.633074","5.6667","1.247219","17.619048","9.641417","2.849206","1.317986","15.904762","8.800381","2.563492","1.120875","10.714286","3.157972","1.936508","0.50744","36.571429","35.835414","5.599206","4.842106","11.047619","4.598629","1.884921","0.600322","110","82","0.7455","4786","43.5091","43.91619","18.3333","11.953614","14.1667","9.136313","0.82556667","0.166547","797.6667","567.550487","22","22.30695","16.8","3","1","2","A"
"4","0","0","1","15","36","2.4","1.635033","18.5","1.233333","1.195361","14.9","0.993333","0.797259","22.7","1.513333","1.631305","10.1","0.673333","1.071116","2.5","1.258306","6","4.518481","2.548611","1.81085","3.083333","3.656235","1.215278","1.192768","2.483333","1.41028","1.047917","0.384628","3.783333","3.351326","1.634722","1.012862","1.683333","2.041582","0.8","0.76103","5","0.816497","12","2.828427","2.377778","0.328107","6.166667","1.312335","1.255556","0.278997","4.966667","1.673984","0.998889","0.298147","7.566667","4.680693","1.407778","0.673555","3.366667","0.449691","0.706667","0.213125","107","90","0.8411","8332","77.8692","125.004081","17.8333","16.466296","15.1667","12.746459","0.91513333","0.089145","1388.6667","1610.103378","21.4","8.708616","18.2","2","0","2","F"
"4","0.25","0","1","14","21.464286","1.533163","2.185075","16.785714","1.19898","1.599187","17.392857","1.242347","1.610413","31.571429","2.255102","2.684042","10.642857","0.760204","1.303938","2","0.534522","3.066327","2.72383","1.961735","2.052838","2.397959","1.741224","1.532313","1.583119","2.484694","1.681647","1.313776","0.880002","4.510204","3.138083","2.469388","1.553636","1.520408","1.620169","0.903061","0.920434","4.6667","1.247219","7.154762","4.383443","1.589683","0.84293","5.595238","3.356552","1.206349","0.555442","5.797619","3.183227","1.189683","0.392197","10.52381","5.763282","2.731746","2.145009","3.547619","2.739441","0.763492","0.47556","177","87","0.4915","3450","19.4915","28.024025","29.5","19.362765","15.3333","9.893881","0.63041667","0.233519","575","278.163022","44.25","41.384629","21.75","1","1","0","F"
"4","0","0","1","20","80.857143","4.042857","2.333988","55.857143","2.792857","1.824144","64.285715","3.214286","2.457641","95.285715","4.764286","7.003392","27.857143","1.392857","1.319091","2.5","0.866025","10.107143","6.517148","3.834821","1.825882","6.982143","4.343913","2.6875","1.31995","8.035714","3.796985","3.092262","1.264117","11.910714","7.568037","5.074405","2.926113","3.482143","1.667421","1.34375","0.347052","6.6667","0.471405","26.952381","3.207842","4.03288","0.265543","18.619048","1.634381","2.802721","0.264695","21.428572","7.276839","3.188209","0.957056","31.761905","17.59883","4.77551","2.51283","9.285714","4.62616","1.437642","0.781738","84","71","0.8452","4542","54.0714","67.318324","14","7.527727","12","6.608076","0.89588333","0.168698","757","266.640832","16.8","14.620534","14.4","1","0","1","F"
"7","0.1429","0","0","32","138.857143","4.339286","3.221025","121.857143","3.808036","2.755499","59.857143","1.870536","1.958306","167","5.21875","4.341726","58.785714","1.837054","1.753275","5.3333","1.598611","23.142857","11.341334","4.394444","1.971577","20.309524","9.995379","3.792857","1.765887","9.97619","5.831195","1.757937","0.756731","27.833333","16.364766","5.009524","2.556076","9.797619","5.198675","1.802778","0.769758","5.3333","0.471405","23.142857","7.956942","4.249206","1.067321","20.309524","5.756639","3.749206","0.724591","9.97619","6.949486","1.850794","1.341206","27.833333","13.312675","5.098413","2.14592","9.797619","6.42651","1.868254","1.310458","337","319","0.9466","24700","73.2938","56.997108","56.1667","31.163101","53.5","31.700421","0.92063333","0.139302","4116.6667","2363.54724","56.1667","42.756741","53.3333","1","1","0","A"
"5","0.2","0","0","25","54.285714","2.171429","1.175755","45.857143","1.834286","1.032279","27.571429","1.102857","0.956243","49.285714","1.971429","1.561538","15.785714","0.631429","0.703136","4.1667","1.213352","9.047619","3.445066","2.206349","0.646728","7.642857","3.073643","1.863492","0.621472","4.595238","1.44671","1.18631","0.428921","8.214286","4.173735","1.911905","0.667792","2.630952","0.780738","0.666071","0.199955","5","0.894427","10.857143","5.843538","2.099524","0.912911","9.171429","3.954228","1.818571","0.69438","5.514286","4.950861","0.967143","0.807103","9.857143","2.672612","2.114286","0.90797","3.157143","3.223764","0.564286","0.571805","47","25","0.5319","8257","175.6809","331.837124","11.75","11.497282","6.5","4.821825","0.6629","0.215753","2064.25","1468.700169","11.75","6.299802","6.5","2","2","0","A"
"5","0.2","1","0","25","34.357143","1.374286","0.811419","32.714286","1.308571","0.983056","42.357143","1.694286","1.139122","56.785714","2.271429","1.573023","20.857143","0.834286","0.587878","4.1667","1.462494","5.72619","2.842048","1.441071","0.493873","5.452381","2.528298","1.382143","0.456356","7.059524","1.412057","2.003571","0.895926","9.464286","5.62259","2.21369","0.863401","3.47619","1.394027","0.853571","0.162032","5","0","6.871429","1.587194","1.374286","0.317439","6.542857","2.68655","1.308571","0.53731","8.471429","3.940786","1.694286","0.788157","11.357143","1.323261","2.271429","0.264652","4.171429","1.552878","0.834286","0.310576","70","62","0.8857","3265","46.6429","74.066386","11.6667","14.510533","10.8333","13.969212","0.8961","0.179492","544.1667","681.112427","14","20.755722","12.6","2","2","0","F"
"5","0.6","1","0","26","51.714286","1.989011","1.752429","49.428572","1.901099","1.839732","43.428572","1.67033","1.186711","74.571429","2.868132","2.463941","24.142857","0.928571","0.498519","3.7143","1.577909","7.387755","5.245414","1.708844","0.918791","7.061225","5.335866","1.643878","0.989341","6.204082","3.980167","1.431973","0.653128","10.653061","7.361494","2.618027","1.261037","3.44898","1.957535","0.913435","0.247562","5.2","0.979796","10.342857","4.209416","2.142245","1.237514","9.885714","4.442283","2.054082","1.277845","8.685714","2.68693","1.773265","0.704969","14.914286","7.730987","2.907959","1.54","4.828571","1.972567","0.903265","0.192048","157","144","0.9172","6045","38.5032","29.02286","26.1667","11.880189","24","10.785793","0.93435","0.08786","1007.5","390.761116","31.4","25.136428","28.8","3","2","1","A"
"5","0.2","1","0","25","35","1.4","0.699714","31.785714","1.271429","0.703136","22","0.88","0.955824","27.071429","1.082857","1.549193","11.785714","0.471429","0.616441","5","0","7","2.280351","1.4","0.45607","6.357143","1.977424","1.271429","0.395485","4.4","1.356466","0.88","0.271293","5.414286","3.78353","1.082857","0.756706","2.357143","1.477035","0.471429","0.295407","5","0","7","1.268134","1.4","0.253627","6.357143","1.17108","1.271429","0.234216","4.4","3.352002","0.88","0.6704","5.414286","5.362455","1.082857","1.072491","2.357143","1.238828","0.471429","0.247766","174","161","0.9253","10873","62.4885","45.699888","34.8","29.869048","32.4","29.763064","0.87408","0.132551","2174.6","2343.78895","34.8","27.235271","32.2","1","1","0","A"
"5","0","0","0","27","121.857143","4.513228","1.906418","100.142857","3.708995","1.149342","48.714286","1.804233","1.535586","136.785714","5.066138","4.331196","53.785714","1.992063","1.381337","4.5","0.5","20.309524","5.79433","4.427381","0.814854","16.690476","3.379275","3.680952","0.426536","8.119048","2.890774","1.808929","0.608017","22.797619","12.686327","4.907738","2.387991","8.964286","3.976921","1.924405","0.696463","5.4","0.489898","24.371429","8.539154","4.486667","1.323108","20.028571","4.380989","3.709524","0.67834","9.742857","5.73329","1.742857","0.895431","27.357143","11.742301","5.209524","2.531942","10.757143","2.00896","2.029524","0.486725","186","169","0.9086","8267","44.4462","38.747457","31","6.429101","28.3333","6.774134","0.91103333","0.081559","1377.8333","526.203831","37.2","32.817069","33.8","3","3","0","F"
"6","0","0","0","14","38.785715","2.770408","1.076772","33.285715","2.377551","0.811273","16.642857","1.188776","1.357613","44.785714","3.19898","1.788926","10.857143","0.77551","0.515079","2.8","1.6","7.757143","3.990192","2.924286","0.619967","6.657143","3.244587","2.570952","0.35341","3.328571","2.83405","0.89881","0.866304","8.957143","6.331908","3.687619","1.601441","2.171429","1.147846","0.83619","0.140411","3.5","0.5","9.696429","1.839459","2.794643","0.568281","8.321429","1.896223","2.357143","0.274068","4.160714","1.086061","1.223214","0.358467","11.196429","2.595805","3.227679","0.702487","2.714286","0.63084","0.785714","0.170865","84","75","0.8929","3709","44.1548","32.491938","14","6.879922","12.5","5.766281","0.91455","0.090106","618.1667","429.902476","16.8","8.158431","15","3","2","1","F"
"4","0.25","1","0","10","43.142858","4.314286","3.974921","34.571429","3.457143","2.227106","21.714286","2.171429","3.006659","56.214286","5.621429","4.118556","14.571429","1.457143","0.489898","2.5","1.118034","10.785714","5.063374","4.238095","1.114225","8.642857","3.488319","3.702381","1.432287","5.428571","4.816002","2.232143","2.517984","14.053572","5.961906","5.83631","2.364173","3.642857","1.472538","1.598214","0.455532","2.5","1.118034","10.785714","6.635172","4.583333","3.349726","8.642857","3.454515","3.601191","1.223746","5.428571","4.367085","2.449405","1.820268","14.053572","6.065412","6.315476","2.959782","3.642857","2.438007","1.291667","0.406291","145","100","0.6897","8195","56.5172","66.446152","24.1667","17.572864","16.8333","11.866152","0.71331667","0.116105","1365.8333","1059.207474","29","31.534109","20","4","4","0","F"
"5","0.6","1","0","23","35.214286","1.531056","0.555944","31.5","1.369565","0.641212","27.142857","1.180124","0.976085","72.942857","3.171429","4.076759","18.642857","0.810559","0.565852","4.6","1.019804","7.042857","1.476068","1.578571","0.378084","6.3","1.536229","1.383333","0.244949","5.428571","2.291065","1.189048","0.398135","14.588571","5.538897","3.177381","1.096469","3.728571","1.719255","0.765714","0.232284","4.6","0.8","7.042857","1.36994","1.526667","0.085799","6.3","0.986025","1.378095","0.079202","5.428571","2.38019","1.211429","0.503895","14.588571","14.602528","3.043429","2.845353","3.728571","1.325111","0.890476","0.502493","192","167","0.8698","6950","36.1979","21.733288","32","9.110434","28.5","7.675719","0.8994","0.074052","1158.3333","308.318378","48","45.072164","42.25","1","1","0","A"
"6","0.5","1","0","54","159.321429","2.950397","1.987902","127.607143","2.363095","1.484524","53.271429","0.986508","1.545489","248.271429","4.597619","5.269564","37.585714","0.696032","0.991661","6","0.471405","17.702381","6.713695","2.955291","1.110983","14.178571","5.70376","2.357407","0.934731","5.919048","2.380486","0.975926","0.37497","27.585714","16.428635","4.541005","2.679181","4.17619","2.069605","0.68254","0.323019","9","0","26.553571","12.825851","2.950397","1.425095","21.267857","4.169952","2.363095","0.463328","8.878571","8.650287","0.986508","0.961143","41.378571","21.5068","4.597619","2.389644","6.264286","6.393469","0.696032","0.710385","428","363","0.8481","26180","61.1682","52.445207","61.1429","46.504773","52.1429","41.642796","0.889","0.155727","3740","2562.718423","71.3333","68.706299","60.5","5","5","0","A"
"5","0.4","0","0","35","58.142857","1.661224","1.123588","57.785714","1.65102","1.374253","23.928571","0.683673","1.1108","200.5","5.728571","8.440839","25.642857","0.732653","1.364716","3.8889","1.448712","6.460317","3.196709","1.653042","0.603626","6.420635","3.754732","1.595106","0.649599","2.65873","2.983283","0.622487","0.393174","22.277778","27.551075","4.77328","4.256722","2.849206","3.437562","0.656085","0.60254","7","2.529822","11.628571","5.504247","1.789683","0.65316","11.557143","5.175373","1.766865","0.564621","4.785714","3.138959","1.195437","1.442945","40.1","38.018943","6.419444","4.951247","5.128571","6.091044","0.778571","0.747474","230","220","0.9565","17068","74.2087","64.013857","32.8571","30.479167","31.5714","30.061162","0.89335714","0.166724","2438.2857","1950.254468","46","39.623226","44","6","4","2","F"
